generacion,libro,pagina,entidad,tipo,score
1972,1,2,México,LOC,0.9967636
1972,1,2,México,LOC,0.9528729
1972,1,2,Francia,ORG,0.9791074
1972,1,2,Estados Unidos,ORG,0.9996769
1972,1,2,Francia,ORG,0.85767496
1972,1,2,Por,PER,0.9994393
1972,1,2,##fi,PER,0.9960575
1972,1,2,##rio Diaz,PER,0.991905
1972,1,2,Por,PER,0.9983047
1972,1,2,##fi,PER,0.99591583
1972,1,2,##rio Diaz,PER,0.916348
1972,1,2,Mé,LOC,0.6305179
1972,1,2,Diaz,PER,0.8969171
1972,1,3,México,LOC,0.99833363
1972,1,3,Francisco |. Made,PER,0.99951434
1972,1,3,ro,PER,0.8394779
1972,1,3,Diaz,PER,0.77389514
1972,1,3,Madero,PER,0.93541884
1972,1,3,Madero,PER,0.9475296
1972,1,3,Diaz,PER,0.9382056
1972,1,3,Plan de San Luis,MISC,0.99879307
1972,1,3,“ Sufragio Efectivo. No Reeleccién ’,MISC,0.9978703
1972,1,3,Madero,PER,0.87669086
1972,1,3,Porfirio Diaz,PER,0.9993925
1972,1,3,Madero,PER,0.9515234
1972,1,3,Emiliano Zapata,PER,0.9994638
1972,1,3,Por,PER,0.9994574
1972,1,3,##firio Diaz,PER,0.9331697
1972,1,3,Victoriano Huerta,PER,0.99535906
1972,1,3,Madero,PER,0.9304801
1972,1,3,Huerta,PER,0.8038292
1972,1,3,Constitucié,MISC,0.7657022
1972,1,3,Don Venustiano Carranza,PER,0.9993987
1972,1,3,Constitucién,MISC,0.8060203
1972,1,3,1857,MISC,0.82022834
1972,1,3,Emi,PER,0.9997514
1972,1,3,liano Zapata,PER,0.9987747
1972,1,3,Francisco Villa,PER,0.99976754
1972,1,3,Alvaro Obregé,PER,0.9995614
1972,1,3,Vera - cruz,LOC,0.99646
1972,1,3,don Venustiano Ca,PER,0.99942225
1972,1,3,rranza,PER,0.99929637
1972,1,3,Emiliano Zapata,PER,0.92312926
