Entidad,Contexto
Revolucid Mexicana,“ Del ecirirate 5S a ia Revolucid Mexicana
Porfiriato,"80 Propésitos En este bloque ubicaras temporal y espacialmente los acontecimientos que caracterizaron al Porfiriato y a la Revolucién Mexicana, asi como las causas y consecuencias de estos procesos. Asimismo, conoceras las principales garantias individuales y sociales contenidas en la Constitucién de 1917. 5) : 493 sume Men. Zécalo de la ciudad de México a principios del siglo xx."
Porfiriato,"4l, limito la libertad de expresion y se mantuvo en la presidencia por mas de 30 afios, negandose a efectuar elecciones libres. En este bloque estudiaras las caracteristicas de este gobierno y el estalli- do de la Revolucion Mexicana, la cual condujo hacia la redaccion de una nueva Constitucién que planted soluciones a muchos de los problemas del pais. > 1. Observa la linea del tiempo de este bloque @ Constitucién de 1917. ""-y responde. @ Inicio de la explotacién del petréleo. m= ;:Cuantas décadas duro el Porfiriato? m= ;Cuanto tiempo goberné Francisco I. > 3. Observa el mapa y"
Porfiriato,"se convirtié en una dictadura, porque elimind las libertades politicas, censuré _Dictadura a la prensa, reprimié las protestas sociales, impidié que se llevaran a cabo Gobierno que ejerce el poder ‘ ” ‘ de manera autoritaria, usando elecciones libres, e impuso a los gobernadores de los estados; ademas, las atte does eee a su Conveniencia las leyes de instituciones de justicia y el Poder Legislativo obedecian sus ordenes. Esta un pais. etapa de la historia de México se conoce como Porfiriato. Caricatura publicada en E/ Hijo del Ahuizote, titulada Una ofrenda a Porfiriopoxtti. “ sti Caricatura publicada en La Orquesta,"
Porfiriato,"90 El Porfiriato Aqui aprenderés aveconessrell|) Estabilidad, desarrollo econémico desarrollo aconémico y el papel dolainersionedanies | € inversion extranjera En el area econdmica, Porfirio Diaz buscé atraer inversiones extranjeras, para lo cual ofrecié a los empresarios facilidades y ventajas para hacer negocios en México. La mineria, la electricidad, el petrdleo, la construccién de ferrocarriles, la produccién de hilados y tejidos, y en general las comunicaciones (teléfonos, telégrafos, bancos, puertos) fueron las principales actividades econdémicas de la época, y empresarios de Estados Unidos, Francia, Alemania y Gran Bretafia, invirtieron en ellas. Gracias a las inversiones, tanto extranjeras como nacionales, se reactivé"
Porfiriato,"Hacia 1884, la inversion extranjera era de 100 millones de pesos y para finales del Porfiriato se elevé 34 veces mas y estaba repartida como se indica en el siguiente cuadro: Inversi6n extranjera en México (porcentaje por pais) Bancos | 18 11.0 18.3 bone =~ E’ 7 Mineria y a | ii - le tom 0% Fuente: Roger D. Hansen, La poiltica del desarrollo mexicano, México, Siglo XX, p. 27, Trabajadores dela Oficina da Telégrafos (ca. 1900)."
Porfiriato,"96 Aqui aprenderas a describir Jas condiciones de viday las inconformidades de los diferentes grupos sociales del Porfiriato. Latifundio Gran extension de tierra que sirve para las labores agricolas y ganaderas y que pertenece a un hacendado, empresario o politico. Obreras en Rio Blanco, Veracruz (ca. 1906). Panorémica:de la fabrica Santa Rosa, en Rio Blanco (ca. 1906). Movimientos de protesta: campesinos y obreros Una vez establecidas las reformas liberales, el pals continudé con el problema de la propiedad de la tierra; para ello el gobierno puso a la venta las tierras comunales y de la Iglesia, ofreciéndolas a quienes tuvieran"
Porfiriato,"la de la fabrica textil de Rio Blanco, Veracruz, en 1907. Hacianda henequenera en la época del Porfiriato. 97 Sindicato Grupo de trabajadores unidos para la defensa y mejora de sus condiciones laborales. Huelga Suspensién de labores en un cantro de trabajo para exigir a los patrones mejorar las condiciones laborales, como aumento de salario, prestaciones y seguridad, entre otras."
Porfiriato,y campesinos durante el Porfiriato. Al terminar pidan a su profesor que se lean algunos de
Porfiriato,"el que desconocia a Victo- Cadete Virgilio Uribe (1896-1914). | a) PARA DETECTIVES riano Huerta como presidente y se autonombraba Pais de Europa que influyé culturalmente sobre _ primer jefe del ejército constitucionalista, llamado los grupos adinerados de México durante el asi porque el plan exigia el respeto a la Constitu- Porfiriato en la arquitectura, el uso de perfumes _cién. y la modapara vestir."
Porfiriato,"112. Integro lo aprendido Lee cada oraci6n y coloca en el paréntesis una P si la oracién corresponde al Porfiriato, y una R sise refiere a la revolucién armada. > 1. Esas décadas se caracterizaron por la reeleccién constante del mismo presidente (__). > 2. Se proclama a la nacién como duefia de sus recursos naturales (_). — 3. Actividades econémicas como la mineria, la construccion de ferrocarriles y la extraccién de petréleo eran desarrolladas por inversionistas extranjeros( }. > 4. Emiliano Zapata elabora el Plan de Ayala(__). > 5, Durante este periodo se introdujeron a México el tranvia, el"
Porfiriato,"automdvil, el cine y el teléfono (__). Evaluacion > 1. Transformaciones tecnoldégicas que cambiaron la ~~ vida cotidiana de la sociedad durante el Porfiriato. a) Bicicleta, cinematégrafo y camara fotografica. b) Ferrocarril, diligencias e industrializacion. c) Modos de vestir, mineria y textiles. > 2. Lee el fragmento del siguiente plan revolucionario: Se desconoce al actual Gobierno del general Diaz, asi como a todas las autoridades cuyo poder debe dimanar del yoto popular, porque ademas de no haber sido elegidas por el pueblo, han perdido los pocos titulos que podian tener de legalidad, cometiendo y apoyando, con los elementos que el"
Revolución Mexicana,"80 Propésitos En este bloque ubicaras temporal y espacialmente los acontecimientos que caracterizaron al Porfiriato y a la Revolucién Mexicana, asi como las causas y consecuencias de estos procesos. Asimismo, conoceras las principales garantias individuales y sociales contenidas en la Constitucién de 1917. 5) : 493 sume Men. Zécalo de la ciudad de México a principios del siglo xx."
Revolución Mexicana,OBSERVADORES > Observen las imagenes y con ayuda de su profesor escriban en el pizarrén lo que representa cada una de ellas. Al terminar el bloque escriban entre todos un texto breve en el que contesten las preguntas del principio de Porfirio Diaz este tema. (1830-1915). Grabado de Posada sobre la Revolucién Mexicana.
Revolución Mexicana,"> 11. En estos afios México recibié influencias culturales de otros paises, como su forma de vestir y los deportes que practicaban( ), > 3. Maximos representantes de los intereses campesinos durante la Revolucién Mexicana. a) Francisco I. Madero y Pascual Orozco. 6) Emiliano Zapata y Francisco Villa. c) Venustiano Carranza y Alvaro Obregén. > 4. Son los articulos que contienen las principales garantias establecidas en la Constitucién Politica de México. a) 1°, 3° y 123°. b) 3°, 27° y 84°. o) 3°, 27° y 123°. > 5. Fue el pais que tuyo mas influencia cultural ~~ sobre los grupos"
Constitución de 1917,"80 Propésitos En este bloque ubicaras temporal y espacialmente los acontecimientos que caracterizaron al Porfiriato y a la Revolucién Mexicana, asi como las causas y consecuencias de estos procesos. Asimismo, conoceras las principales garantias individuales y sociales contenidas en la Constitucién de 1917. 5) : 493 sume Men. Zécalo de la ciudad de México a principios del siglo xx."
