sujeto,relacion,objeto
Eulalio Gutiérrez,es aliado de,Villa
Eulalio Gutiérrez,avanza sobre,Ciudad de México
Carranza,es aliado de,Obregón
Carranza,es aliado de,Pablo Gonzalez
Carranza,se retira a,Puerto de Veracruz
Carranza,instala,Primera Jefatura
Eulalio Gutiérrez,es nombrado,Presidente de la República
Mi patria,es,México
México,necesita,trabajo material e intelectual de sus hijos
México,necesita,moralidad de todos ellos
México,merece,trabajo material e intelectual de sus hijos
México,merece,moralidad de todos ellos
México,asegura,su dicha
México,aumenta,su grandeza
yo,debo ser,"digno, justo, generoso y útil"
yo,honraré,mi familia
yo,honraré,la sociedad en que vivo
yo,honraré,mi país
yo,honraré,la humanidad
yo,debo ser agradecido con,mis padres
yo,debo ser agradecido con,mis maestros
mis padres,realizan,sacrificios para mi preparación
mis maestros,realizan,sacrificios para mi preparación
Madera,publica,sucesida
Albert Einstein,publica,Teoria de la rolatividad
Fundacion,funda,Antirreeleccionisty
Andrés Molina Enriquez,pertenece a,Ateneo do la Juventud
Huerta,se describe con,dispuesto a derramar toda la sangre mexicana
Huerta,se describe con,cubrir de cadáveres todo el territorio nacional
Huerta,se describe con,convertir en una inmensa ruina toda la extensión de nuestra patria
Pancho Villa,ataca,El Grillo
Pancho Villa,toma,Zacatecas
Urbina,toma,Zacatecas
Natera,toma,Zacatecas
Alvaro Obregón,asesina,Venustiano Carranza
Adolfo de la Huerta,es,presidente
México,fue atacado por,Francia
México,fue atacado por,Estados Unidos
Porfirio Diaz,pacifica y organiza,México
Porfirio Diaz,da concesiones a,extranjeros
Francisco I. Madero,fuepublicadoen,La sucesión presidencial en 1970
Francisco I. Madero,funda,Partido Nacional Antirreeleccionista
Francisco I. Madero,viaja a,México
Francisco I. Madero,es aliado de,distintos grupos sociales
Francisco I. Madero,se postula a,presidencia de la República
Francisco I. Madero,tiene sesgo político hacia,democracia
Emiliano Zapata,lucha en,Revolución Mexicana
Francisco Villa,lucha en,Revolución Mexicana
Venustiano Carranza,lucha en,Revolución Mexicana
Alvaro Obregón,lucha en,Revolución Mexicana
Emiliano Zapata,lidera,grupos revolucionarios
Francisco Villa,lidera,grupos revolucionarios
Venustiano Carranza,lidera,grupos revolucionarios
Alvaro Obregón,lidera,grupos revolucionarios
Adelita,es contemporáneo de,sargento
Adelita,es aliado de,regimiento
Adelita,se describe con,valiente
Adelita,se identifica con,mujer
sargento,idolatra a,Adelita
La Revolución Mexicana,fuepublicadoen,SEP-Nostra
La Revolución Mexicana,fuepublicadoen,2009
La Revolución Mexicana,fuepublicadoen,Libros del Rincón
Venustiano Carranza,funda,gobierno de Coahuila
Venustiano Carranza,lidera,Revolución Mexicana
Venustiano Carranza,fuepublicadoen,gobernador de Coahuila
Venustiano Carranza,lidera,ejército constitucionalista
Venustiano Carranza,es aliado de,Álvaro Obregón
Álvaro Obregón,pertenece a,ejército constitucionalista
Venustiano Carranza,es aliado de,villistas
Venustiano Carranza,es aliado de,zapatistas
Venustiano Carranza,lucha en,contra de Victoriano Huerta
revolucionarios,quedaron divididos en,carrancistas
revolucionarios,quedaron divididos en,villistas
revolucionarios,quedaron divididos en,zapatistas
Alvaro Obregon,dirige,ejército constitucionalista
tropas de Carranza,logran victorias sobre,adversarios
ideas de reforma social,quedaron plasmadas en,Plan de Ayala
ideas de reforma social,quedaron plasmadas en,Ley Agraria
Alvaro Obregon,lidera,ejército constitucionalista
Alvaro Obregon,es aliado de,Carranza
ejército constitucionalista,pertenece a,carrancistas
villistas,es aliado de,zapatistas
Plan de Ayala,se describe con,ideas de reforma social
Ley Agraria,se describe con,ideas de reforma social
henequén,es de origen,Yucatán
henequén,se utiliza para,confeccionar cuerdas
henequén,se utiliza para,confeccionar hamacas
henequén,se utiliza para,confeccionar sogas
henequén,se utiliza para,confeccionar jabón
henequén,fue una de las actividades más importantes durante,Porfiriato
nosotros,viaja a,con la tropa
nosotros,sigue a,mi apa
nosotros,sigue a,mi general
mi general,lucha en,Revolución
nosotros,acompaña a,mi general
nosotros,hace la comida para,mi general
nosotros,toma las armas para,defendernos
culturas extranjeras,influencia en,cultura y arte de México
comunidades extranjeras,establecen,"costumbres, modas, conocimientos técnicos, laborales, culinarios y creencias religiosas"
familias de la aristocracia mexicana,mandan a estudiar a,extranjero
hijos de la aristocracia mexicana,traen,"nuevos conocimientos, modas e influencias artísticas"
influencia francesa,se observa en,costumbres urbanas
influencia francesa,se observa en,cafés
influencia francesa,se observa en,restaurantes
influencia francesa,se observa en,literatura
influencia francesa,se observa en,moda
influencia francesa,se observa en,diversiones
influencia francesa,se observa en,funciones de opera
influencia francesa,se observa en,ballet
influencia francesa,se observa en,conciertos
influencia francesa,se observa en,bailes
influencia francesa,se observa en,construcciones
influencia francesa,se observa en,Palacio de Bellas Artes
influencia francesa,se observa en,edificio de Correos
influencia francesa,se observa en,teatros Juarez
influencia francesa,se observa en,teatro de La Paz
influencia francesa,se observa en,teatro Doblado
influencia francesa,se observa en,teatro Calderon
influencia francesa,se observa en,teatro Peón Contreras
Emiliano Zapata,elabora,Plan de Ayala
Juarez,regresa a,capital de México
Juarez,triunfa sobre,imperio de Maximiliano
Juarez,afianza,República
Juarez,gobierna en,República Restaurada
Juarez,respeta,Constitución
Luis Pasteur,desarrolla,vacuna contra la rabia
Mexican Petroleum Company,inicia,explotación petrolera
Manuel Payno,publica,Los bandidos de Río Frío
hermanos Lumière,inventa,cinematógrafo
